grupo,area,areacod,num,profes,est,salario,especie,lineas,jovinpre,artb,ponnal,ponint,otros,matripos,joinvcol,proyext,mov,centrosex,arta,caplibr,libr,patentes,gmaesdoc,inves,sumah,hmax,numproy,invesjun,gmaes,codi
Sambiente,SALUD,3,220,1.495148778,0.548121393,6.555518627,4.063939095,1.609437943,1.386294365,1.809641361,0,0,0,0.548121393,0.693147182,0.877366245,0.693147182,0,1.844054341,1.098612309,0,0,1.252762914,0.810930192,1.386294365,1.098612309,2.079441547,0.693147182,1.386294365,3.859375715
Scomunidad,SALUD,3,221,1.004301667,0.548121393,6.641490459,4.266115189,1.791759491,1.098612309,2.248443365,0,0,0,0.548121393,0.693147182,6.617274284,1.609437943,0,2.641525269,0,0,0,1.386294365,1.098612309,3.178053856,2.564949274,1.386294365,0,1.098612309,4.421271801
Ssociedad,SALUD,3,222,1.961502194,0.900161326,7.375440121,3.755779743,1.609437943,1.098612309,2.638545036,1.098612309,1.098612309,1.609437943,0.900161326,0.693147182,4.977543354,0.693147182,0,2.22177434,1.609437943,1.098612309,0,1.098612309,0,1.609437943,1.098612309,2.079441547,0,1.609437943,2.618148565
Ssostenibilidad,SALUD,3,223,1.202972293,1.098612309,6.29856348,0.693147182,1.791759491,0.693147182,2.797552586,1.098612309,0,0,1.098612309,0,6.424978733,0,0,2.796420574,0,1.098612309,0,0.405465096,0.91629076,1.609437943,1.098612309,0.693147182,1.386294365,0.693147182,3.364195585
Serhumano,SOCIALES,4,224,1.329723954,1.366091609,5.372936249,0.693147182,1.386294365,0,0,0,0,0,1.366091609,0,0,0.693147182,0,0,0,0,0,0,0,0,0,0,0,0,0
SICOSIS,CIENCIAS,1,225,1.934415817,0.900161326,7.259170532,0.693147182,2.197224617,0,1.809641361,1.098612309,1.609437943,0.693147182,0.900161326,0,0,0.693147182,0,0.69658488,0,0,0,0.693147182,0.91629076,1.609437943,1.609437943,0,1.386294365,1.098612309,0
SIDCOP,INGENIERIA,2,226,1.906575203,0.548121393,6.602068901,0.693147182,1.609437943,0,2.07083869,1.945910096,0,0,0.548121393,0,0,0.693147182,0,2.350002766,0,0,0,0.693147182,1.178655028,0,0,0,1.386294365,0,0
SINAPSIS,SALUD,3,227,0.548121393,0,4.891513824,0.693147182,1.098612309,0,0,0,0,0,0,0,0,0.693147182,0,0,0,0,0,0,0.405465096,0.693147182,0.693147182,0,0.693147182,0,0
Penitenciario,SOCIALES,4,228,0.693147182,0,5.365353107,1.35743022,1.609437943,0.693147182,1.809641361,1.098612309,0,0,0,0.693147182,3.150527,1.098612309,0,0,0,1.098612309,0,0,0.405465096,0,0,0.693147182,0.693147182,0,0
SISTEMIC,INGENIERIA,2,229,2.515274286,1.004301667,7.571279526,0.693147182,1.945910096,0,2.568000793,2.397895336,3.891820192,1.386294365,1.004301667,0,0,0.693147182,0,2.776451111,2.197224617,0,0,1.386294365,1.558144569,2.484906673,1.945910096,0,1.386294365,1.945910096,0
Sociantropologia,SALUD,3,230,1.536867261,0,5.971960545,1.499864936,1.386294365,1.098612309,2.568000793,0,1.609437943,0,0,0,5.446661949,0.693147182,0,0,0,0,0,0.405465096,0,0,0,1.609437943,0,0.693147182,4.052314758
Taxonomia,CIENCIAS,1,231,0.693147182,0,6.111060619,0.693147182,1.791759491,0.693147182,2.07083869,0,0,0,0,0,0,0,0,1.237010241,0,0,0,0.405465096,0.693147182,1.609437943,1.609437943,0.693147182,0,0.693147182,0.646082878
Toxicologia,SALUD,3,232,1.366091609,0,5.871091366,0.693147182,1.386294365,0,1.809641361,0,0,0,0,0,2.172000885,0,0,1.67560339,0,0,0,0,0,0,0,0,0,0,0
Trauma,SALUD,3,233,1.536867261,0.548121393,6.577512741,2.716609001,1.609437943,0.693147182,2.838749647,1.098612309,0,1.098612309,0.548121393,0,0,1.791759491,0,1.025284886,0,0,0,0,0.810930192,2.639057398,2.639057398,0,0.693147182,0,3.116178751
Uniplu,SOCIALES,4,234,2.459588766,2.417697906,7.395303726,2.665673971,2.639057398,1.098612309,2.875808716,1.098612309,0,2.302585125,2.417697906,0,2.613729,0,0,1.63703227,0,1.098612309,0,0.693147182,1.386294365,0,0,1.098612309,1.945910096,0,4.254138947
Unun,SALUD,3,235,2.066862822,0,6.913004875,3.111460209,1.386294365,0.693147182,2.483749628,0,0,0,0,0,0,1.609437943,0,2.021106005,1.098612309,0,0,0.405465096,0.405465096,0.693147182,0.693147182,1.098612309,0.693147182,0.693147182,3.118308544
Musicales,SOCIALES,4,236,1.329723954,0,5.83028698,3.224877357,1.791759491,0.693147182,0,0,0,0,0,0,4.465139866,0,0,0,0,0,0,0,0.405465096,0,0,0,0.693147182,0,3.813870668
Inorganica,CIENCIAS,1,237,1.098612309,0,6.465424538,0.693147182,1.609437943,1.098612309,0,0,0,0,0,0,0,1.386294365,0,0,0,0,0,0,0.693147182,0,0,1.098612309,1.098612309,0,4.046228886
Metodologia,CIENCIAS,1,238,0.693147182,0,6.076631546,0.693147182,0.693147182,0,0,0,0,0.693147182,0,0,0,1.098612309,0,0,0,0,0,0,0.405465096,0,0,0,0.693147182,0,0
Hermeneutica,SOCIALES,4,239,0.470003635,0,4.887310505,0.693147182,2.564949274,0,0,0,0,0.693147182,0,0,0,0.693147182,0,0,0,0,0,0,0.559615791,0,0,0,0,0,0
Sintesis,CIENCIAS,1,240,0.693147182,0,5.433006287,0.693147182,1.791759491,1.098612309,1.809641361,0,0,0,0,0,0,1.098612309,0,2.270478725,0,0,0,0,1.011600971,0,0,0.693147182,0,0,3.749059439
GDM,INGENIERIA,2,241,2.034705639,0,6.855073929,0.693147182,0.693147182,1.098612309,2.248443365,2.197224617,1.609437943,0,0,0,5.385694981,0.693147182,0,1.568962574,0,0,0.693147182,0,0.693147182,1.386294365,1.098612309,1.609437943,1.098612309,0,4.920090675
Somos palabra,SOCIALES,4,242,1.766441703,1.160020947,6.763134956,0.693147182,1.386294365,0.693147182,2.248443365,2.197224617,0,0.693147182,1.160020947,0,0,0,0,0.454486459,0,0,0,0.693147182,0.91629076,0,0,0,1.386294365,1.098612309,3.184894323
ERM,CIENCIAS,1,243,1.69744873,0,6.841126442,0.693147182,1.791759491,1.098612309,2.248443365,0,0,1.098612309,0,0,4.629742146,0,0,1.103193283,0,0,0,1.098612309,1.252762914,0,0,1.098612309,1.098612309,1.609437943,4.389141083
